"","iso3.code","area","uq1","uq5","rq1","rq5","u.diff","r.diff"
"53","SLV","El Salvador",94.9900579028134,100,72.392031956694,96.3466317368841,5.00994209718664,23.9545997801901
"54","SRB","Serbia",95.0648010531338,100,96.1834200209955,98.9172059578108,4.93519894686615,2.73378593681527
"55","KAZ","Kazakhstan",95.0942938075146,100,89.6959172863024,99.4830657844248,4.90570619248535,9.78714849812239
"56","HND","Honduras",95.3314313662937,99.8905767678981,68.505873323544,98.2902660038231,4.55914540160437,29.784392680279
"57","COL","Colombia",95.951297716034,99.8510363721865,40.4003712592217,96.5692613933585,3.89973865615255,56.1688901341368
"58","THA","Thailand",96.339689267247,99.9611887573619,95.829864408315,99.5657267980924,3.62149949011494,3.73586238977741
"59","BGD","Bangladesh",94.3143231499583,97.7687666092011,87.8812876967917,98.2313285664765,3.45444345924284,10.3500408696848
"60","BIH","Bosnia and Herzegovina",95.9335036881483,99.0778171710102,94.6520120453349,98.195976728585,3.14431348286195,3.54396468325007
"61","PSE","State of Palestine",97.5790926520255,100,94.441367398434,99.0426379185957,2.42090734797452,4.60127052016162
"62","GTM","Guatemala",97.6616070308211,100,74.8882064311131,99.187282454898,2.3383929691789,24.2990760237849
"63","TUR","Turkey",97.1170030698766,99.2916502282632,87.7091079649035,93.9197633949968,2.17464715838658,6.21065543009337
"64","ARM","Armenia",98.1619119784699,100,95.1645634259339,98.2726662521103,1.83808802153011,3.10810282617646
"65","PAN","Panama",98.2576167860988,100,41.4398369088017,99.9270582342482,1.74238321390122,58.4872213254465
"66","MEX","Mexico",98.2192256421197,99.7452979558717,78.5307022897702,99.0912372132621,1.52607231375201,20.5605349234918
"67","UKR","Ukraine",98.248321715608,99.6534029131509,94.6626519407478,99.9272763530802,1.40508119754294,5.26462441233234
"68","EGY","Egypt",98.3596594160698,99.5020162737266,97.1378758875058,96.5623052560824,1.14235685765684,-0.575570631423446
"69","BRB","Barbados",98.9848357325643,100,95.857750212779,100,1.01516426743572,4.14224978722096
"70","BLR","Belarus",99.2958232994565,100,96.9284720133287,100,0.704176700543456,3.07152798667131
"71","TUN","Tunisia",99.1853376339672,99.6898420066315,61.5217452180231,97.1810422171732,0.504504372664343,35.6592969991501
"72","TKM","Turkmenistan",100,100,99.1349309695817,99.8862525811283,-2.8421709430404e-14,0.751321611546629
