"","iso3.code","area","uq1","uq5","rq1","rq5","u.diff","r.diff"
"1","COD","Democratic Republic of the Congo",25.2207563354072,92.6168033721103,4.65508885271862,33.9804687866222,67.3960470367031,29.3253799339035
"2","BEN","Benin",35.1808363545168,96.7627226688571,30.4648224158732,67.8513814552576,61.5818863143403,37.3865590393844
"3","RWA","Rwanda",39.0132715146498,98.7876396201078,25.825738072848,43.9471431926301,59.774368105458,18.1214051197821
"4","SDN","Sudan",39.8235705156584,98.6517135685454,13.7965808837092,95.761094280578,58.828143052887,81.9645133968688
"5","TCD","Chad",32.7814704651081,90.0403565053384,13.8156080663313,32.5397166262201,57.2588860402303,18.7241085598889
"6","ETH","Ethiopia",51.7940273899685,99.6230266390952,14.3560830265363,43.3716845283538,47.8289992491267,29.0156015018175
"7","COG","Congo",46.2667777479696,89.0527812777925,8.60683685362172,48.6702887146784,42.7860035298228,40.0634518610567
"8","KEN","Kenya",48.9481232250581,91.630656209511,18.9327140816368,70.4768247223625,42.6825329844529,51.5441106407256
"9","NGA","Nigeria",50.6926581712303,92.3121195351131,27.380908393939,69.9241377617453,41.6194613638828,42.5432293678063
"10","ZMB","Zambia",55.3801654745551,96.6753281514622,20.1080500045999,50.0987106473459,41.2951626769072,29.9906606427459
"11","NER","Niger",54.6057018929851,95.2290222822338,12.7900101111215,44.4920171200871,40.6233203892487,31.7020070089656
"12","AGO","Angola",40.2922491759981,79.9711151002348,10.5450813498934,37.5055110122047,39.6788659242367,26.9604296623113
"13","STP","Sao Tome and Principe",56.7817452150329,95.195372699763,66.7266136312839,74.8960291285623,38.4136274847301,8.16941549727838
"14","MWI","Malawi",60.9732914321823,98.7683225967779,39.6620516396887,53.4689911962747,37.7950311645957,13.806939556586
"15","TZA","United Republic of Tanzania",53.4125205158707,90.669384153377,11.6355551878525,53.5413281844969,37.2568636375063,41.9057729966444
"16","CMR","Cameroon",55.5873803478466,91.5427647509897,30.5543108277867,49.7959910294485,35.9553844031432,19.2416802016619
"17","GAB","Gabon",60.1580896280138,95.5930593077464,21.4937603061003,69.6721536122433,35.4349696797326,48.178393306143
"18","CIV","Côte d'Ivoire",63.916960571135,99.2236511753146,40.1329971359981,72.2883219421714,35.3066906041795,32.1553248061733
