"","iso3.code","area","uq1","uq5","rq1","rq5","u.diff","r.diff"
"1","NAM","Namibia",4.99216191891511,94.2500753027636,0.0846051211665942,59.9996901975353,89.2579133838485,59.9150850763687
"2","GAB","Gabon",4.28803598459956,93.0058939288561,0.39936561775897,40.8977370062862,88.7178579442565,40.4983713885273
"3","STP","Sao Tome and Principe",6.46978860102915,93.740537100443,8.55601624793153,72.2253404298668,87.2707484994139,63.6693241819353
"4","CIV","Côte d'Ivoire",5.84291711806557,92.5025983794008,0.453373549323028,24.3111863785033,86.6596812613353,23.8578128291803
"5","GNB","Guinea-Bissau",2.12327493155258,82.3568934936612,0.125710228999701,8.39646891105296,80.2336185621086,8.27075868205326
"6","SWZ","Eswatini",15.5778198553423,94.6677315209729,31.8524270227075,61.8643198449139,79.0899116656306,30.0118928222065
"7","HTI","Haiti",6.96223601628622,82.5690880918681,6.09007727444176,45.2122419687957,75.6068520755819,39.1221646943539
"8","ZMB","Zambia",11.7121770901294,84.7413525724106,8.28363446697189,32.4051598585011,73.0291754822813,24.1215253915292
"9","AGO","Angola",16.6911293109207,87.8007639670243,0.620560747450678,32.310916427255,71.1096346561036,31.6903556798043
"10","IND","India",27.5337488631792,96.5364245961122,3.31748818655441,84.9167284699183,69.002675732933,81.5992402833639
"11","TZA","United Republic of Tanzania",10.7191888560495,79.4096089785516,0.350398675245413,46.1199259284283,68.6904201225021,45.7695272531829
"12","IDN","Indonesia",28.9404676368177,97.2134587673938,5.46777741500309,90.465289562376,68.2729911305761,84.997512147373
"13","SDN","Sudan",16.9825033517918,84.4885329501065,3.9222277835429,60.249490402607,67.5060295983146,56.3272626190641
"14","LBR","Liberia",4.63143579654505,70.0953027377935,0.626102802403641,12.5264936069906,65.4638669412484,11.9003908045869
"15","CMR","Cameroon",27.3049372033857,91.6103342253017,1.31196747782173,44.5405613996034,64.305397021916,43.2285939217816
"16","GMB","Gambia",25.6898209952278,89.5820720555181,12.8110863737244,42.5637126788562,63.8922510602903,29.7526263051318
"17","TGO","Togo",6.27541405783096,69.634002988951,1.55013990854179,22.1808416559928,63.3585889311201,20.6307017474511
"18","HND","Honduras",37.0945536459556,98.5055842603801,23.0239343621658,88.0373759195578,61.4110306144245,65.013441557392
"19","KEN","Kenya",17.8741307483876,77.7164768871405,6.60434861167947,50.023014150648,59.8423461387529,43.4186655389685
"20","MWI","Malawi",28.474130086343,87.5916327174026,34.4275436810602,68.1024993658033,59.1175026310596,33.6749556847431
"21","NER","Niger",10.7053477878036,68.6304545025896,0,23.3548932073001,57.925106714786,23.3548932073001
"22","BEN","Benin",0.825564982309913,58.4684830482674,0,18.3395114649437,57.6429180659575,18.3395114649437
"23","SLE","Sierra Leone",3.40415291881386,60.7039076578755,0,14.0509674573182,57.2997547390616,14.0509674573182
"24","AFG","Afghanistan",27.2429806858311,84.287034665247,8.19689347769204,32.6521157073425,57.044053979416,24.4552222296505
"25","MNG","Mongolia",43.8090799133647,99.8554398396601,5.58121891322425,73.0546427953171,56.0463599262953,67.4734238820928
"26","NGA","Nigeria",31.4157890161256,85.96501336986,10.520236186827,55.304857206802,54.5492243537344,44.784621019975
"27","ZWE","Zimbabwe",27.9809074279415,81.7351060298249,5.09174966125405,63.8237461553008,53.7541986018834,58.7319964940467
"28","LCA","Saint Lucia",45.8509238876007,98.9833345511956,72.1192474376494,99.2141036686992,53.1324106635949,27.0948562310498
"29","GHA","Ghana",5.1878326964189,58.0340811475801,6.56155512279231,20.5519344741235,52.8462484511612,13.9903793513312
"30","TCD","Chad",2.86024769122785,55.6551366076908,0.193876993078828,6.39307599883666,52.7948889164629,6.19919900575783
